EKDagoth15;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nIt is with great appreciation that I accept your charitable donation to the Temple. I assure you that this act of kindness will not go unnoticed - or be forgotten.\n\nSigned, [From.GetBestName];;;;;;;;;;;;;x
EKDagoth15Accept;Excellent.;;;;;;;;;x
EKDagoth50;Excellent.;;;;;;;;;x
EKDagoth50;At daybreak, guards enter my cell and shackle me, leading me to meditation chambers of [From.GetBestName]. [From.GetBestName] declares that I am to be tried for acts of betrayal against Sixth House. The trial is short, with various witnesses being called to testify at my supposed offenses. At the end, [From.GetFirstName] scowls at me and readies a weapon. "You, [Root.GetFirstName] are judged guilty of all charges, and are hereby sentenced to death! But, [From.Offmap.Ruler.GetTitle] informs me you may yet be useful in grand plan. You shall not die today, [Root.GetFirstName]! Remember that [From.Offmap.Ruler.GetTitle]'s mercy has spared you!" I am immediately released, and go back to my safe haven.;;;;;;;;;x
EKDagoth50Accept;At least I'm still alive...;;;;;;;;;x
EKDagoth52;In the morning, I preside over a trial for [From.GetBestName] who is accused of betraying the Sixth House. A number of witnesses appear, each testifying against [From.GetFirstName] in a very brief affair. At the end, [From.GetFirstName] is convicted and the appropriate penalty is nothing less than death. All is as shown in a dream sent to me by [FromFrom.Offmap.Ruler.GetTitle]. The betrayer may yet be a useful tool and as instructed by [FromFrom.Offmap.Ruler.GetTitle], I hereby release [From.GetFirstName].;;;;;;;;;x
EKDagoth52Accept;Remember [FromFrom.Offmap.Ruler.GetTitle]'s mercy!;;;;;;;;;x
EKDagoth305Title;[dagoth_peacemaker.GetTitle]'s Quest;;;;;;;;;x
EKDagoth305;The disasters threatening my people have been eradicated seemingly overnight. It is confirmed that [dagoth_peacemaker.GetTitle] sent [dagoth_peacemaker.GetHerHim] servants, slaughtering all that stood against [dagoth_peacemaker.GetHerHim].;;;;;;;;;x
EKDagoth305Accept;How fortuitous!;;;;;;;;;x
EKDagoth310Title;Influencing Dreams!;;;;;;;;;x
