#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# Set Up #

# Atmoran
ATM.00101.title;The Island of Ice;;;;;;;;;x
ATM.00101.desc;You descend from your beached boat, the icy water splashing as you vault down into it. A shudder runs over your skin at the icy carress of the winds, and at the haunting whines it brings, as you set foot onto the frost-laden island that holds the corpse of perhaps the greatest amongst your kind to ever live. The dirt crunches beneath your feet as you make your way up towards the barrow, eyes drawn to the twin Hawk heads carved forever into their places of sentry. With a bowed head, and a murmured prayer towards [GetYsgramorGod], you ascend the side of the barrow, stopping at the top of the great stone slabs that make up the staircase down.;;;;;;;;;x
ATM.00101.optA;Pull your coat closer, and enter the tomb...;;;;;;;;;x
ATM.00101.optB;Pull your coat closer, and enter the tomb...;;;;;;;;;x

# Companions
ATM.00102.title;The Island of Ice;;;;;;;;;x
ATM.00102.desc;You descend from your beached boat, the icy water splashing as you vault down into it. A shudder runs over your skin at the icy carress of the winds, and at the haunting whines it brings, as you set foot onto the frost-laden island that holds the corpse of perhaps the greatest amongst your kind to ever live. The dirt crunches beneath your feet as you make your way up towards the barrow, eyes drawn to the twin Hawk heads carved forever into their places of sentry. With a bowed head, and a murmured prayer towards [GetYsgramorGod], you ascend the side of the barrow, stopping at the top of the great stone slabs that make up the staircase down.;;;;;;;;;x
ATM.00102.optA;Pull your coat closer, and enter the tomb...;;;;;;;;;x
ATM.00102.optB;Pull your coat closer, and enter the tomb...;;;;;;;;;x

# Before Entering the Tomb #

# Bloodline not claimed 
ATM.00103.title;The Tomb of Ysgramor;;;;;;;;;x
ATM.00103.desc;The descent is treacherous, the slabs slick with ice, and despite your tolerance for the cold you feel the chill seeping into your bones. A moment later though, you stand before the great doors that mark the resting place of the Companions and, with a deep breath, push through them to enter the tomb itself. A grand chamber meets you, dominated by a large statue of Ysgramor, which is in turn flanked by two sconces burning, seemingly eternally, with neither smoke nor smell. Several offerings lie before Ysgramor himself, of all kinds - pelts, weapons, gold, and food. Behind him stands a door made of ancient Nordic steel - totally flat faced, with no handle nor lock. The statue itself looks incomplete, the great Harbinger's pose implying he should be holding a weapon of some kind.;;;;;;;;;x
ATM.00103.optA;Attempt to Enter.;;;;;;;;;x
ATM.00103.optB;Place Wuuthrad, Ysgramor's axe, back into his hands.;;;;;;;;;x
ATM.00103.optC;Pay your respects to Ysgramor and leave.;;;;;;;;;x

# Bloodline already claimed
ATM.00104.title;The Tomb of Ysgramor;;;;;;;;;x
ATM.00104.desc;The descent is treacherous, the slabs slick with ice, and despite your tolerance for the cold you feel the chill seeping into your bones. A moment later though, you stand before the great doors that mark the resting place of the Companions and, with a deep breath, push through them to enter the tomb itself. A grand chamber meets you, dominated by a large statue of Ysgramor, which is in turn flanked by two sconces burning, seemingly eternally, with neither smoke nor smell. Several offerings lie before Ysgramor himself, of all kinds - pelts, weapons, gold, and food. Behind him stands a door made of ancient Nordic steel - totally flat faced, with no handle nor lock - and open to a dark corridor. There is a sense of forboding from within, as if warning that there was nothing left inside but death.;;;;;;;;;x
ATM.00104.optA;Pay your respects to Ysgramor and leave.;;;;;;;;;x

# Default
ATM.00105.title;Attempt to Enter.;;;;;;;;;x
ATM.00105.desc;You stride over to the door, and push as hard as you can. It doesn't budge, you feel as if you're pushing against a wall. No amount of magic is going to unstick it either. This door doesn't seem to be budging.;;;;;;;;;x
ATM.00105.optA;Place Wuuthrad, Ysgramor's axe, back into his hands.;;;;;;;;;x
ATM.00105.optB;Pay your respects to Ysgramor and leave.;;;;;;;;;x

# Pay Respects 
ATM.00106.title;To Respect a Hero;;;;;;;;;x
ATM.00106.desc;You leave a few of your personal effects at Ysgramor's feet, paying respects as so many others have done before you, and take a moment to give a few words, too. A warmth fills you as you rise, and turn to leave, and for a moment you feel as if somehow, you've just been approved of.;;;;;;;;;x
ATM.00106.optA;You quietly leave the tomb, satisfied;;;;;;;;;x

# Entrance into the Tomb #

# Has Wuuthrad, entering
ATM.00107.title;The Statue Awaits;;;;;;;;;x
ATM.00107.desc;With Wuuthrad in your hands, the great statue of Ysgramor seems almost to call to you. The axe hums faintly, resonating with the chamber itself. As you step forward, a heavy sense of destiny presses upon your shoulders — you alone may return the weapon to its rightful place.;;;;;;;;;x
ATM.00107.optA;Raise Wuuthrad high and set it into the statue's hands.;;;;;;;;;x
ATM.00107.optB;Clutch the axe tightly — perhaps you are not yet ready.;;;;;;;;;x

#Trial: The Companions Test
ATM.00108.title;The Companions' Test;;;;;;;;;x
ATM.00108.desc;Spectral figures step forth from the walls — warriors clad in wolf pelts and ancient mail. Their leader speaks: "We are the Companions, bound to Ysgramor. Prove your strength, your courage, and your honour, if you would walk the path of heroes.";;;;;;;;;x
ATM.00108.optA;By Right of Arms;;;;;;;;;x
ATM.00108.optB;By Right of Deed;;;;;;;;;x
ATM.00108.optC;By Right of Status;;;;;;;;;x
ATM.00108.optD;Turn back — you are not ready.;;;;;;;;;x
ATM.00108.Martial;A brutal test of arms and courage. Your Combat Rating will strongly influence success.;;;;;;;;;x
ATM.00108.Diplomacy;A plea to honour and brotherhood. Your Diplomacy will strongly influence success.;;;;;;;;;x

#Trial: The Atmoran Spiders
ATM.00109.title;The Trial: Atmoran Spiders;;;;;;;;;x
ATM.00109.desc;From the fissures of the tomb pour monstrous spiders, their eyes glinting like frozen gems. Webs shiver across the chamber as the brood encircles you, fangs clicking in the cold dark.;;;;;;;;;x
ATM.00109.optA;Through Fire and War;;;;;;;;;x
ATM.00109.optB;A Lesson in Shadows;;;;;;;;;x
ATM.00109.optC;Run Away;;;;;;;;;x
